Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2016,Магістр або спеціаліст,21,Ні,Так,21,Бакалавр,ум-41м
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",None,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,
"Навчатися в КПІ, але за іншим напрямом",Не працюю,"Так, не за спеціальністю",2014,Магістр або спеціаліст,18,Ні,Так,18,Кандидатський чи докторський ступінь,фізичної та біомедичної електроніки
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Так,5,Кандидатський чи докторський ступінь,
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,21,"Інша ситуація, наявність диплому була важливою",Так,21,Магістр або спеціаліст,Ув-41с
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2011,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,Скс
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ІБ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ІБ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,15,Моєю перевагою була наявність диплому,Так,15,Кандидатський чи докторський ступінь,"Біомедичної кібернетики, аспірант "
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,17,Ні,Так,17,Магістр або спеціаліст,ЕП
